|                                                                          |   ncount |          mae |          rmse |               rsq |
|:-------------------------------------------------------------------------|---------:|-------------:|--------------:|------------------:|
| ('*ALL', 'Unweighted', 'Training', 'Energy')                             |     1182 |  2.21177     |  16.3468      |      -0.0123152   |
| ('*ALL', 'Unweighted', 'Training', 'Force')                              |    72804 |  1.31462     |  14.9209      |       0.0165873   |
| ('*ALL', 'Unweighted', 'Testing', 'Energy')                              |      595 |  2.16318     |  10.5218      |      -0.0530314   |
| ('*ALL', 'Unweighted', 'Testing', 'Force')                               |    37065 |  1.25802     |   8.49842     |       0.0322095   |
| ('*ALL', 'weighted', 'Training', 'Energy')                               |     1182 |  0.0221177   |   0.163468    |      -0.0123152   |
| ('*ALL', 'weighted', 'Training', 'Force')                                |    72804 |  1.31462     |  14.9209      |       0.0165873   |
| ('*ALL', 'weighted', 'Testing', 'Energy')                                |      595 |  0.0216318   |   0.105218    |      -0.0530314   |
| ('*ALL', 'weighted', 'Testing', 'Force')                                 |    37065 |  1.25802     |   8.49842     |       0.0322095   |
| ('BCC_ForceLib_W110', 'Unweighted', 'Training', 'Energy')                |        1 |  0.396977    |   0.396977    |    -inf           |
| ('BCC_ForceLib_W110', 'Unweighted', 'Training', 'Force')                 |      387 |  0.0770973   |   0.152875    |   -1553.82        |
| ('BCC_ForceLib_W110', 'Unweighted', 'Testing', 'Energy')                 |        1 |  0.435257    |   0.435257    |    -inf           |
| ('BCC_ForceLib_W110', 'Unweighted', 'Testing', 'Force')                  |      387 |  0.0803825   |   0.15247     |   -1339.2         |
| ('BCC_ForceLib_W110', 'weighted', 'Training', 'Energy')                  |        1 |  0.00396977  |   0.00396977  |    -inf           |
| ('BCC_ForceLib_W110', 'weighted', 'Training', 'Force')                   |      387 |  0.0770973   |   0.152875    |   -1553.82        |
| ('BCC_ForceLib_W110', 'weighted', 'Testing', 'Energy')                   |        1 |  0.00435257  |   0.00435257  |    -inf           |
| ('BCC_ForceLib_W110', 'weighted', 'Testing', 'Force')                    |      387 |  0.0803825   |   0.15247     |   -1339.2         |
| ('BCC_ForceLib_W111', 'Unweighted', 'Training', 'Energy')                |        1 |  0.390062    |   0.390062    |    -inf           |
| ('BCC_ForceLib_W111', 'Unweighted', 'Training', 'Force')                 |      387 |  0.107357    |   0.165506    |      -4.16104     |
| ('BCC_ForceLib_W111', 'Unweighted', 'Testing', 'Energy')                 |        1 |  0.42771     |   0.42771     |    -inf           |
| ('BCC_ForceLib_W111', 'Unweighted', 'Testing', 'Force')                  |      387 |  0.11052     |   0.168115    |     -70.4039      |
| ('BCC_ForceLib_W111', 'weighted', 'Training', 'Energy')                  |        1 |  0.00390062  |   0.00390062  |    -inf           |
| ('BCC_ForceLib_W111', 'weighted', 'Training', 'Force')                   |      387 |  0.107357    |   0.165506    |      -4.16104     |
| ('BCC_ForceLib_W111', 'weighted', 'Testing', 'Energy')                   |        1 |  0.0042771   |   0.0042771   |    -inf           |
| ('BCC_ForceLib_W111', 'weighted', 'Testing', 'Force')                    |      387 |  0.11052     |   0.168115    |     -70.4039      |
| ('BCC_ForceLib_WOct', 'Unweighted', 'Training', 'Energy')                |        1 |  0.435257    |   0.435257    |    -inf           |
| ('BCC_ForceLib_WOct', 'Unweighted', 'Training', 'Force')                 |      387 |  0.0803825   |   0.15247     |   -1339.21        |
| ('BCC_ForceLib_WOct', 'Unweighted', 'Testing', 'Energy')                 |        1 |  0.396977    |   0.396977    |    -inf           |
| ('BCC_ForceLib_WOct', 'Unweighted', 'Testing', 'Force')                  |      387 |  0.0770973   |   0.152875    |   -1553.75        |
| ('BCC_ForceLib_WOct', 'weighted', 'Training', 'Energy')                  |        1 |  0.00435257  |   0.00435257  |    -inf           |
| ('BCC_ForceLib_WOct', 'weighted', 'Training', 'Force')                   |      387 |  0.0803825   |   0.15247     |   -1339.21        |
| ('BCC_ForceLib_WOct', 'weighted', 'Testing', 'Energy')                   |        1 |  0.00396977  |   0.00396977  |    -inf           |
| ('BCC_ForceLib_WOct', 'weighted', 'Testing', 'Force')                    |      387 |  0.0770973   |   0.152875    |   -1553.75        |
