|                                                                          |   ncount |           mae |          rmse |               rsq |
|:-------------------------------------------------------------------------|---------:|--------------:|--------------:|------------------:|
| ('*ALL', 'Unweighted', 'Training', 'Energy')                             |     1182 |  17.0643      |  65.2626      |      -0.0795362   |
| ('*ALL', 'Unweighted', 'Training', 'Force')                              |    73131 |   2.97035     |  69.2208      |       0.0151044   |
| ('*ALL', 'Unweighted', 'Testing', 'Energy')                              |      595 |  15.2255      |  16.0686      |     -35.1483      |
| ('*ALL', 'Unweighted', 'Testing', 'Force')                               |    36972 |   0.718902    |   2.54804     |       0.921586    |
| ('*ALL', 'weighted', 'Training', 'Energy')                               |     1182 |   0.170643    |   0.652626    |      -0.0795362   |
| ('*ALL', 'weighted', 'Training', 'Force')                                |    73131 |   2.97035     |  69.2208      |       0.0151044   |
| ('*ALL', 'weighted', 'Testing', 'Energy')                                |      595 |   0.152255    |   0.160686    |     -35.1483      |
| ('*ALL', 'weighted', 'Testing', 'Force')                                 |    36972 |   0.718902    |   2.54804     |       0.921586    |
| ('BCC_ForceLib_W110', 'Unweighted', 'Training', 'Energy')                |        1 |  16.45        |  16.45        |    -inf           |
| ('BCC_ForceLib_W110', 'Unweighted', 'Training', 'Force')                 |      387 |   0.182347    |   0.318211    |       0.00151907  |
| ('BCC_ForceLib_W110', 'Unweighted', 'Testing', 'Energy')                 |        1 |  16.4654      |  16.4654      |    -inf           |
| ('BCC_ForceLib_W110', 'Unweighted', 'Testing', 'Force')                  |      387 |   0.156196    |   0.275349    |       0.206052    |
| ('BCC_ForceLib_W110', 'weighted', 'Training', 'Energy')                  |        1 |   0.1645      |   0.1645      |    -inf           |
| ('BCC_ForceLib_W110', 'weighted', 'Training', 'Force')                   |      387 |   0.182347    |   0.318211    |       0.00151907  |
| ('BCC_ForceLib_W110', 'weighted', 'Testing', 'Energy')                   |        1 |   0.164654    |   0.164654    |    -inf           |
| ('BCC_ForceLib_W110', 'weighted', 'Testing', 'Force')                    |      387 |   0.156196    |   0.275349    |       0.206052    |
| ('BCC_ForceLib_W111', 'Unweighted', 'Training', 'Energy')                |        1 |  16.5074      |  16.5074      |    -inf           |
| ('BCC_ForceLib_W111', 'Unweighted', 'Training', 'Force')                 |      387 |   0.144416    |   0.220921    |       0.506368    |
| ('BCC_ForceLib_W111', 'Unweighted', 'Testing', 'Energy')                 |        1 |  16.4833      |  16.4833      |    -inf           |
| ('BCC_ForceLib_W111', 'Unweighted', 'Testing', 'Force')                  |      387 |   0.149577    |   0.24286     |       0.426654    |
| ('BCC_ForceLib_W111', 'weighted', 'Training', 'Energy')                  |        1 |   0.165074    |   0.165074    |    -inf           |
| ('BCC_ForceLib_W111', 'weighted', 'Training', 'Force')                   |      387 |   0.144416    |   0.220921    |       0.506368    |
| ('BCC_ForceLib_W111', 'weighted', 'Testing', 'Energy')                   |        1 |   0.164833    |   0.164833    |    -inf           |
| ('BCC_ForceLib_W111', 'weighted', 'Testing', 'Force')                    |      387 |   0.149577    |   0.24286     |       0.426654    |
| ('BCC_ForceLib_WOct', 'Unweighted', 'Training', 'Energy')                |        1 |  16.488       |  16.488       |    -inf           |
| ('BCC_ForceLib_WOct', 'Unweighted', 'Training', 'Force')                 |      387 |   0.147753    |   0.268004    |       0.236709    |
| ('BCC_ForceLib_WOct', 'Unweighted', 'Testing', 'Energy')                 |        1 |  16.4521      |  16.4521      |    -inf           |
| ('BCC_ForceLib_WOct', 'Unweighted', 'Testing', 'Force')                  |      387 |   0.173473    |   0.299992    |       0.0817517   |
| ('BCC_ForceLib_WOct', 'weighted', 'Training', 'Energy')                  |        1 |   0.16488     |   0.16488     |    -inf           |
| ('BCC_ForceLib_WOct', 'weighted', 'Training', 'Force')                   |      387 |   0.147753    |   0.268004    |       0.236709    |
| ('BCC_ForceLib_WOct', 'weighted', 'Testing', 'Energy')                   |        1 |   0.164521    |   0.164521    |    -inf           |
| ('BCC_ForceLib_WOct', 'weighted', 'Testing', 'Force')                    |      387 |   0.173473    |   0.299992    |       0.0817517   |
| ('BCC_ForceLib_WTet', 'Unweighted', 'Training', 'Energy')                |        1 |  16.4659      |  16.4659      |    -inf           |
| ('BCC_ForceLib_WTet', 'Unweighted', 'Training', 'Force')                 |      387 |   0.17134     |   0.347846    |       0.110282    |
